timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
6695900,0.0,0.0,0.0,0.0
6899886,0.0,0.0,0.0,0.0
7100689,0.0,0.0,0.0,0.0
7300690,0.0,0.0,0.0,0.0
7500681,0.0,0.0,0.0,0.0
7704688,0.0,0.0,0.0,0.0
7908676,0.0,0.0,0.0,0.0
8109479,0.0,0.0,0.0,0.0
8310273,0.0,0.0,0.0,0.0
8512677,0.0,0.0,0.0,0.0
8713488,0.0,0.0,0.0,0.0
8915097,0.0,0.0,0.0,0.0
9118273,0.0,0.0,0.0,0.0
9319084,0.0,0.0,0.0,0.0
9519884,0.0,0.0,0.0,0.0
9723879,0.0,0.0,0.0,0.0
9927901,0.0,0.0,0.0,0.0
10127881,0.0,0.0,0.0,0.0
10329508,0.0,0.0,0.0,0.0
10532690,0.0,0.0,0.0,0.0
10732665,0.0,0.0,0.0,0.0
10934295,0.0,0.0,0.0,0.0
11137628,0.0,0.0,0.0,0.0
11340689,0.0,0.0,0.0,0.0
11540698,0.0,0.0,0.0,0.0
11743081,0.0,0.0,0.0,0.0
11947079,0.0,0.0,0.0,0.0
12150277,0.0,0.0,0.0,0.0
12351878,0.0,0.0,0.0,0.0
12555088,0.0,0.0,0.0,0.0
12756713,0.0,0.0,0.0,0.0
12956684,0.0,0.0,0.0,0.0
13160718,0.0,0.0,0.0,0.0
13365528,0.0,0.0,0.0,0.0
13567108,0.0,0.0,0.0,0.0
13769476,0.0,0.0,0.0,0.0
13974284,0.0,0.0,0.0,0.0
14175884,0.0,0.0,0.0,0.0
14379106,0.0,0.0,0.0,0.0
14582274,0.0,0.0,0.0,0.0
14783889,0.0,0.0,0.0,0.0
14987864,0.0,0.0,0.0,0.0
15191078,0.0,0.0,0.0,0.0
15392853,0.0,0.0,0.0,0.0
15596841,0.0,0.0,0.0,0.0
15801530,0.0,0.0,0.0,0.0
16003096,0.0,0.0,0.0,0.0
16205528,0.0,0.0,0.0,0.0
16408679,0.0,0.0,0.0,0.0
16609465,0.0,0.0,0.0,0.0
16809500,0.0,0.0,0.0,0.0
17011116,0.0,0.0,0.0,0.0
17213481,0.0,0.0,0.0,0.0
17414305,0.0,0.0,0.0,0.0
17615889,0.0,0.0,0.0,0.0
17819079,0.0,0.0,0.0,0.0
18019878,0.0,0.0,0.0,0.0
18220706,0.0,0.0,0.0,0.0
18420686,0.0,0.0,0.0,0.0
18624687,0.0,0.0,0.0,0.0
18828676,0.0,0.0,0.0,0.0
19029480,0.0,0.0,0.0,0.0
19230350,0.0,0.0,0.0,0.0
19432682,0.0,0.0,0.0,0.0
19633488,0.0,0.0,0.0,0.0
19835103,0.0,0.0,0.0,0.0
20039083,0.0,0.0,0.0,0.0
20239079,0.0,0.0,0.0,0.0
20439889,0.0,0.0,0.0,0.0
20643880,0.0,0.0,0.0,0.0
20847887,0.0,0.0,0.0,0.0
21048711,0.0,0.0,0.0,0.0
21252694,0.0,0.0,0.0,0.0
21456710,0.0,0.0,0.0,0.0
21659875,0.0,0.0,0.0,0.0
21861484,0.0,0.0,0.0,0.0
22066272,0.0,0.0,0.0,0.0
22267882,0.0,0.0,0.0,0.0
22471112,0.0,0.0,0.0,0.0
22674293,0.0,0.0,0.0,0.0
22875080,0.0,0.0,0.0,0.0
23075896,0.0,0.0,0.0,0.0
23279249,0.0,0.0,0.0,0.0
23483882,0.0,0.0,0.0,0.0
23684677,0.0,0.0,0.0,0.0
23888684,0.0,0.0,0.0,0.0
24088696,0.0,0.0,0.0,0.0
24291102,0.0,0.0,0.0,0.0
24493479,0.0,0.0,0.0,0.0
24696685,0.0,0.0,0.0,0.0
24901464,0.0,0.0,0.0,0.0
25102283,0.0,0.0,0.0,0.0
25305523,0.0,0.0,0.0,0.0
25510310,0.0,0.0,0.0,0.0
25711092,0.0,0.0,0.0,0.0
25915118,0.0,0.0,0.0,0.0
26119085,0.0,0.0,0.0,0.0
26320683,0.0,0.0,0.0,0.0
26523888,0.0,0.0,0.0,0.0
26723887,0.0,0.0,0.0,0.0
26925520,0.0,0.0,0.0,0.0
27129525,0.0,0.0,0.0,0.0
27330315,0.0,0.0,0.0,0.0
27532695,0.0,0.0,0.0,0.0
27734293,0.0,0.0,0.0,0.0
27938279,0.0,0.0,0.0,0.0
28140682,0.0,0.0,0.0,0.0
28343078,0.0,0.0,0.0,0.0
28547132,0.0,0.0,0.0,0.0
28747905,0.0,0.0,0.0,0.0
28949531,0.0,0.0,0.0,0.0
29152700,0.0,0.0,0.0,0.0
29356043,0.0,0.0,0.0,0.0
29556676,0.0,0.0,0.0,0.0
29757500,0.0,0.0,0.0,0.0
29960708,0.0,0.0,0.0,0.0
30165537,0.0,0.0,0.0,0.0
30366276,0.0,0.0,0.0,0.0
30569476,0.0,0.0,0.0,0.0
30774281,0.0,0.0,0.0,0.0
30975085,0.0,0.0,0.0,0.0
31179083,0.0,0.0,0.0,0.0
31383090,0.0,0.0,0.0,0.0
31583938,0.0,0.0,0.0,0.0
31783887,0.0,0.0,0.0,0.0
31984666,0.0,0.0,0.0,0.0
32184679,0.0,0.0,0.0,0.0
32385525,0.0,0.0,0.0,0.0
32589506,0.0,0.0,0.0,0.0
32793483,0.0,0.0,0.0,0.0
32994292,0.0,0.0,0.0,0.0
33198282,0.0,0.0,0.0,0.0
33402280,0.0,0.0,0.0,0.0
33605507,0.0,0.0,0.0,0.0
33807090,0.0,0.0,0.0,0.0
34011875,0.0,0.0,0.0,0.0
34213521,0.0,0.0,0.0,0.0
34415911,0.0,0.0,0.0,0.0
34619878,0.0,0.0,0.0,0.0
34819877,0.0,0.0,0.0,0.0
35020706,0.0,0.0,0.0,0.0
35224691,0.0,0.0,0.0,0.0
35428679,0.0,0.0,0.0,0.0
35631079,0.0,0.0,0.0,0.0
35833473,0.0,0.0,0.0,0.0
36038282,0.0,0.0,0.0,0.0
36238273,0.0,0.0,0.0,0.0
36439081,0.0,0.0,0.0,0.0
36642275,0.0,0.0,0.0,0.0
36847879,0.0,0.0,0.0,0.0
37051864,0.0,0.0,0.0,0.0
37255879,0.0,0.0,0.0,0.0
37456862,0.0,0.0,0.0,0.0
37660689,0.0,0.0,0.0,0.0
37865629,0.0,0.0,0.0,0.0
38065645,0.0,0.0,0.0,0.0
38265516,0.0,0.0,0.0,0.0
38469464,0.0,0.0,0.0,0.0
38673527,0.0,0.0,0.0,0.0
38874457,0.0,0.0,0.0,0.0
39076677,0.0,0.0,0.0,0.0
39277464,0.0,0.0,0.0,0.0
39480710,0.0,0.0,0.0,0.0
39683875,0.0,0.0,0.0,0.0
39883875,0.0,0.0,0.0,0.0
40084677,0.0,0.0,0.0,0.0
40284677,0.0,0.0,0.0,0.0
40488679,0.0,0.0,0.0,0.0
40692685,0.0,0.0,0.0,0.0
40893495,0.0,0.0,0.0,0.0
41093516,0.0,0.0,0.0,0.0
41297658,0.0,0.0,0.0,0.0
41502358,0.0,0.0,0.0,0.0
41703230,0.0,0.0,0.0,0.0
41906270,0.0,0.0,0.0,0.0
42111080,0.0,0.0,0.0,0.0
42311893,0.0,0.0,0.0,0.0
42515087,0.0,0.0,0.0,0.0
42719879,0.0,0.0,0.0,0.0
42920676,0.0,0.0,0.0,0.0
43124717,0.0,0.0,0.0,0.0
43324665,0.0,0.0,0.0,0.0
43527089,0.0,0.0,0.0,0.0
43729465,0.0,0.0,0.0,0.0
43930276,0.0,0.0,0.0,0.0
44132689,0.0,0.0,0.0,0.0
44334323,0.0,0.0,0.0,0.0
44538284,0.0,0.0,0.0,0.0
44738274,0.0,0.0,0.0,0.0
44939083,0.0,0.0,0.0,0.0
45139886,0.0,0.0,0.0,0.0
45343116,0.0,0.0,0.0,0.0
45547901,0.0,0.0,0.0,0.0
45748837,0.0,0.0,0.0,0.0
45952685,0.0,0.0,0.0,0.0
46155927,0.0,0.0,0.0,0.0
46356675,0.0,0.0,0.0,0.0
46557479,0.0,0.0,0.0,0.0
46760860,0.0,0.0,0.0,0.0
46965654,0.0,0.0,0.0,0.0
47167091,0.0,0.0,0.0,0.0
47369478,0.0,0.0,0.0,0.0
47574290,0.0,0.0,0.0,0.0
47775887,0.0,0.0,0.0,0.0
47979079,0.0,0.0,0.0,0.0
48179091,0.0,0.0,0.0,0.0
48380700,0.0,0.0,0.0,0.0
48584699,0.0,0.0,0.0,0.0
48784675,0.0,0.0,0.0,0.0
48985510,0.0,0.0,0.0,0.0
49185515,0.0,0.0,0.0,0.0
49389475,0.0,0.0,0.0,0.0
49593524,0.0,0.0,0.0,0.0
49794326,0.0,0.0,0.0,0.0
49998296,0.0,0.0,0.0,0.0
50203087,0.0,0.0,0.0,0.0
50404855,0.0,0.0,0.0,0.0
50607107,0.0,0.0,0.0,0.0
50811903,0.0,0.0,0.0,0.0
51012690,0.0,0.0,0.0,0.0
51216695,0.0,0.0,0.0,0.0
51420688,0.0,0.0,0.0,0.0
51621528,0.0,0.0,0.0,0.0
51825520,0.0,0.0,0.0,0.0
52028690,0.0,0.0,0.0,0.0
52229494,0.0,0.0,0.0,0.0
52430282,0.0,0.0,0.0,0.0
52633508,0.0,0.0,0.0,0.0
52838285,0.0,0.0,0.0,0.0
53039122,0.0,0.0,0.0,0.0
53239889,0.0,0.0,0.0,0.0
53442277,0.0,0.0,0.0,0.0
53647081,0.0,0.0,0.0,0.0
53848685,0.0,0.0,0.0,0.0
54051096,0.0,0.0,0.0,0.0
54251873,0.0,0.0,0.0,0.0
54453675,0.0,0.0,0.0,0.0
54656722,0.0,0.0,0.0,0.0
54858332,0.0,0.0,0.0,0.0
55058284,0.0,0.0,0.0,0.0
55262275,0.0,0.0,0.0,0.0
55466300,0.0,0.0,0.0,0.0
55669465,0.0,0.0,0.0,0.0
55871088,0.0,0.0,0.0,0.0
56076033,0.0,0.0,0.0,0.0
56278281,0.0,0.0,0.0,0.0
56479864,0.0,0.0,0.0,0.0
56683886,0.0,0.0,0.0,0.0
56884680,0.0,0.0,0.0,0.0
57085525,0.0,0.0,0.0,0.0
57285521,0.0,0.0,0.0,0.0
57485500,0.0,0.0,0.0,0.0
57686270,0.0,0.0,0.0,0.0
57886285,0.0,0.0,0.0,0.0
58090332,0.0,0.0,0.0,0.0
58294286,0.0,0.0,0.0,0.0
58495103,0.0,0.0,0.0,0.0
58695876,0.0,0.0,0.0,0.0
58899082,0.0,0.0,0.0,0.0
59103874,0.0,0.0,0.0,0.0
59304664,0.0,0.0,0.0,0.0
59507915,0.0,0.0,0.0,0.0
59707865,0.0,0.0,0.0,0.0
59907891,0.0,0.0,0.0,0.0
60109481,0.0,0.0,0.0,0.0
60313479,0.0,0.0,0.0,0.0
60516863,0.0,0.0,0.0,0.0
60718280,0.0,0.0,0.0,0.0
60922351,0.0,0.0,0.0,0.0
61122286,0.0,0.0,0.0,0.0
61324702,0.0,0.0,0.0,0.0
61527081,0.0,0.0,0.0,0.0
61731864,0.0,0.0,0.0,0.0
61933477,0.0,0.0,0.0,0.0
62136693,0.0,0.0,0.0,0.0
62340684,0.0,0.0,0.0,0.0
62541497,0.0,0.0,0.0,0.0
62745515,0.0,0.0,0.0,0.0
62949477,0.0,0.0,0.0,0.0
63150282,0.0,0.0,0.0,0.0
63354292,0.0,0.0,0.0,0.0
63557497,0.0,0.0,0.0,0.0
63759108,0.0,0.0,0.0,0.0
63959273,0.0,0.0,0.0,0.0
64163108,0.0,0.0,0.0,0.0
64367256,0.0,0.0,0.0,0.0
64567879,0.0,0.0,0.0,0.0
64768688,0.0,0.0,0.0,0.0
64971090,0.0,0.0,0.0,0.0
65171878,0.0,0.0,0.0,0.0
65373522,0.0,0.0,0.0,0.0
65576831,0.0,0.0,0.0,0.0
65778337,0.0,0.0,0.0,0.0
65978281,0.0,0.0,0.0,0.0
66182270,0.0,0.0,0.0,0.0
66386322,0.0,0.0,0.0,0.0
66586277,0.0,0.0,0.0,0.0
66787939,0.0,0.0,0.0,0.0
66991141,0.0,0.0,0.0,0.0
67195876,0.0,0.0,0.0,0.0
67395879,0.0,0.0,0.0,0.0
67599879,0.0,0.0,0.0,0.0
67803885,0.0,0.0,0.0,0.0
68005529,0.0,0.0,0.0,0.0
68208670,0.0,0.0,0.0,0.0
68412690,0.0,0.0,0.0,0.0
68614295,0.0,0.0,0.0,0.0
68817481,0.0,0.0,0.0,0.0
69021465,0.0,0.0,0.0,0.0
69222335,0.0,0.0,0.0,0.0
69423079,0.0,0.0,0.0,0.0
69623885,0.0,0.0,0.0,0.0
69826275,0.0,0.0,0.0,0.0
70027878,0.0,0.0,0.0,0.0
70232680,0.0,0.0,0.0,0.0
70435131,0.0,0.0,0.0,0.0
70636695,0.0,0.0,0.0,0.0
70840686,0.0,0.0,0.0,0.0
71040692,0.0,0.0,0.0,0.0
71241517,0.0,0.0,0.0,0.0
71442270,0.0,0.0,0.0,0.0
71645535,0.0,0.0,0.0,0.0
71849511,0.0,0.0,0.0,0.0
72050310,0.0,0.0,0.0,0.0
72251092,0.0,0.0,0.0,0.0
72454294,0.0,0.0,0.0,0.0
72654293,0.0,0.0,0.0,0.0
72855879,0.0,0.0,0.0,0.0
73059877,0.0,0.0,0.0,0.0
73259884,0.0,0.0,0.0,0.0
73461633,0.0,0.0,0.0,0.0
73661484,0.0,0.0,0.0,0.0
73864676,0.0,0.0,0.0,0.0
74064704,0.0,0.0,0.0,0.0
74266277,0.0,0.0,0.0,0.0
74470341,0.0,0.0,0.0,0.0
74670271,0.0,0.0,0.0,0.0
74870291,0.0,0.0,0.0,0.0
75071898,0.0,0.0,0.0,0.0
75275078,0.0,0.0,0.0,0.0
75479099,0.0,0.0,0.0,0.0
75680684,0.0,0.0,0.0,0.0
75884703,0.0,0.0,0.0,0.0
76088686,0.0,0.0,0.0,0.0
76289478,0.0,0.0,0.0,0.0
76493481,0.0,0.0,0.0,0.0
76697476,0.0,0.0,0.0,0.0
76898285,0.0,0.0,0.0,0.0
77098288,0.0,0.0,0.0,0.0
77299113,0.0,0.0,0.0,0.0
77501492,0.0,0.0,0.0,0.0
77704691,0.0,0.0,0.0,0.0
77907085,0.0,0.0,0.0,0.0
78110291,0.0,0.0,0.0,0.0
78313478,0.0,0.0,0.0,0.0
78516695,0.0,0.0,0.0,0.0
78716711,0.0,0.0,0.0,0.0
78919881,0.0,0.0,0.0,0.0
79121518,0.0,0.0,0.0,0.0
79324664,0.0,0.0,0.0,0.0
79526279,0.0,0.0,0.0,0.0
79726283,0.0,0.0,0.0,0.0
