timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_angle
6672145,0.20835602,0.020084275,0.09568868
6899511,0.20172232,0.02265174,0.09717513
7100962,0.18242823,0.021684557,0.09713777
7301203,0.26844427,0.021114305,0.102100775
7501015,0.16995496,0.019755125,0.09914976
7704349,0.22327042,0.02244085,0.09028843
7909114,0.22126888,0.021054074,0.09506337
8110234,0.20458852,0.020622037,0.09268345
8310464,0.26027858,0.020705836,0.08819394
8512385,0.19088463,0.019236844,0.09170718
8713265,0.1992485,0.023421615,0.09812541
8913769,0.21948197,0.02154666,0.10042464
9118645,0.21199714,0.019748963,0.09304392
9319396,0.18809672,0.021035865,0.09157322
9518678,0.1956781,0.019898938,0.09545643
9723258,0.22655122,0.019002724,0.09324059
9928040,0.21529728,0.019464673,0.09125516
10127697,0.21234183,0.026131254,0.09143614
10328293,0.19001849,0.022431776,0.090818524
10532100,0.20801364,0.021792714,0.09201959
10732506,0.19173013,0.022648824,0.09366754
10937737,0.20389444,0.02285504,0.0903438
11140322,0.21408421,0.023305831,0.09580341
11346687,0.21302193,0.024214974,0.09475466
11546662,0.20356871,0.023610553,0.08485978
11749314,0.24153796,0.024849415,0.087495156
11955547,0.17748651,0.02668197,0.089809455
12156409,0.19012904,0.0221952,0.09126167
12358536,0.20335953,0.022894088,0.087704144
12565138,0.21173805,0.01995194,0.08865856
12767352,0.20551011,0.026869297,0.08024998
12973552,0.19387229,0.030408042,0.094294325
13173976,0.22981706,0.025925416,0.095895894
13373245,0.21866344,0.028018894,0.09064388
13576895,0.21328232,0.020021826,0.08965332
13781874,0.18902914,0.018845893,0.08723883
13982063,0.22903672,0.017600615,0.08380429
14185282,0.21445127,0.018794589,0.083739676
14390526,0.22593433,0.015691802,0.085990354
14593745,0.21555385,0.01880435,0.08928659
14795289,0.20825206,0.021470658,0.07991942
15000617,0.19071388,0.019418249,0.078840606
15200629,0.24150044,0.018861787,0.081109636
15403268,0.20106561,0.018613216,0.08129598
15607620,0.1860461,0.023709662,0.081121035
15808388,0.2059878,0.025330808,0.09206855
16009646,0.1744908,0.021388453,0.078519374
16212178,0.22579913,0.02194891,0.08209948
16418097,0.21825282,0.021622036,0.07894028
16618703,0.22740911,0.016105218,0.079186104
16821037,0.23315845,0.017410208,0.086172074
17027386,0.28573605,0.018296078,0.08523065
17227645,0.24276528,0.014687262,0.08922258
17428249,0.20513462,0.024673035,0.0833563
17630030,0.1906804,0.026286252,0.083511665
17831410,0.24842507,0.024883114,0.07770256
18035672,0.19389194,0.024837177,0.085928835
18239318,0.17861308,0.021562753,0.085865624
18439718,0.18811634,0.018952638,0.079962164
18640162,0.19322811,0.02105293,0.08868202
18844907,0.22873865,0.01997084,0.08061731
19046262,0.23643379,0.02224345,0.07960328
19246705,0.18244962,0.026385058,0.086047925
19446641,0.24095988,0.026328033,0.08415834
19649267,0.2041081,0.017709613,0.07969631
19850068,0.19917917,0.019859342,0.08336722
20050121,0.22084564,0.021482227,0.084210016
20255999,0.1930076,0.02382978,0.08079002
20458536,0.18682061,0.020120824,0.08496968
20658099,0.2010829,0.023765484,0.08407621
20858875,0.19669312,0.020975132,0.0784027
21064435,0.17462666,0.022661326,0.08520787
21264946,0.1871207,0.01397176,0.08140505
21465943,0.16582622,0.026523963,0.07962125
21665242,0.21726215,0.024153788,0.08264323
21866027,0.1836146,0.0242422,0.07823338
22066122,0.25027597,0.018040866,0.07534817
22268394,0.21295148,0.020289263,0.084062934
22469182,0.17769313,0.018732073,0.0843931
22674085,0.21226843,0.026224542,0.08336534
22875422,0.17255083,0.020479547,0.085103326
23075649,0.21624222,0.02625787,0.07809834
23278126,0.16352923,0.019300148,0.08286525
23484070,0.20217988,0.019332847,0.08491654
23685795,0.20848253,0.020739589,0.0825862
23887435,0.1281041,0.021934299,0.07533094
24088984,0.22668608,0.028847,0.07645831
24289027,0.18800962,0.026907625,0.076952025
24494615,0.22419915,0.03143317,0.06939237
24696489,0.2405357,0.026084851,0.074114025
24902029,0.22732568,0.026585946,0.08050926
25102494,0.17563078,0.021240165,0.073891595
25305295,0.21956159,0.02339159,0.077476926
25510556,0.20872559,0.030194867,0.07839558
25710752,0.21138304,0.020110236,0.06814226
25914022,0.22094306,0.022502756,0.0681001
26119352,0.19670701,0.021631833,0.06559204
26320921,0.17689855,0.02514552,0.07025487
26523359,0.22857396,0.0222649,0.06820725
26724181,0.20665963,0.021116411,0.071197644
26923633,0.22142655,0.022610083,0.07179205
27128401,0.20774351,0.025005424,0.07139912
27330588,0.2328995,0.021283379,0.07146757
27532496,0.17624599,0.019938888,0.061375763
27732936,0.1970358,0.016821709,0.071846485
27939461,0.24383129,0.020286776,0.07292427
28141230,0.16740656,0.023016956,0.074412376
28341149,0.2124512,0.02369763,0.06057682
28546895,0.24145734,0.022946024,0.07299745
28747629,0.23122026,0.017778724,0.068447955
28948443,0.18990357,0.026780305,0.0709806
29151397,0.14093527,0.022956926,0.070601314
29355684,0.19574773,0.020967396,0.071755864
29556805,0.22924267,0.017039021,0.06882458
29757098,0.1974858,0.019342255,0.069994584
29960134,0.17312567,0.018051675,0.07631956
30166011,0.21266282,0.02188338,0.060793042
30366820,0.19196126,0.022317054,0.060235914
30568358,0.20209534,0.022381088,0.06764213
30774813,0.20845896,0.019962018,0.066688955
30975647,0.22271714,0.02286802,0.067440026
31178610,0.21861123,0.02109729,0.06763066
31383390,0.21170515,0.022919936,0.06743344
31584310,0.22637977,0.018971244,0.06579873
31784837,0.2553,0.015891172,0.06840997
31985004,0.1683565,0.019431677,0.072035186
32185931,0.18029912,0.021154309,0.07584029
32384964,0.193218,0.020303214,0.06696438
32587604,0.21518953,0.02224081,0.06655421
32793752,0.22832042,0.017444087,0.06135092
32993225,0.19878963,0.018538706,0.06394253
33196486,0.17832473,0.019888582,0.06425272
33403442,0.20960303,0.02064829,0.06946862
33605809,0.21809603,0.020575605,0.06477424
33805816,0.18823825,0.019686285,0.0652069
34011292,0.2182333,0.02203297,0.06211826
34214012,0.21025535,0.021609182,0.063829355
34414913,0.20182002,0.019317107,0.059729077
34619705,0.21665233,0.022411408,0.061491337
34819710,0.20750912,0.020477772,0.065415345
35020869,0.20983204,0.020596325,0.06218104
35223624,0.20083143,0.0174763,0.06205367
35429265,0.20733395,0.019255614,0.061443716
35631384,0.2087292,0.019064687,0.05974333
35833309,0.1949035,0.018798945,0.06411738
36038098,0.1990204,0.022787483,0.059192117
36238611,0.18766299,0.01915588,0.058553256
36438540,0.20420912,0.018061768,0.07031648
36641205,0.19691838,0.020365253,0.0679848
36848661,0.20516247,0.020138891,0.061408672
37049979,0.19659707,0.018994723,0.07070921
37257095,0.19463988,0.01865353,0.06551038
37456331,0.18533729,0.018592326,0.06667347
37658902,0.1996846,0.017432272,0.07041853
37865785,0.19302318,0.018833542,0.06756984
38065363,0.19784188,0.019918304,0.07134314
38266546,0.19396804,0.01816789,0.06781754
38468488,0.19632503,0.017050035,0.06852374
38673709,0.20123537,0.018439265,0.07065267
38875570,0.19688655,0.018777061,0.07295691
39077108,0.19478638,0.018170254,0.06730082
39276072,0.19580679,0.019075114,0.066295244
39478760,0.2026806,0.020510387,0.06606206
39684520,0.20099404,0.021341952,0.06928898
39885054,0.20519422,0.019720046,0.07424665
40085645,0.20910294,0.01820309,0.0776593
40285626,0.20296457,0.016061537,0.070639335
40487571,0.19715673,0.01597804,0.061549637
40692503,0.20226884,0.018349504,0.07025502
40893772,0.20347653,0.019165741,0.069086134
41093095,0.19963573,0.016696163,0.06941525
41296965,0.20411421,0.017990135,0.06858773
41502037,0.20226334,0.018842071,0.06907932
41703452,0.21288492,0.019272441,0.06523144
41905181,0.20404345,0.018196339,0.072476774
42110866,0.24922152,0.02144647,0.06495752
42312226,0.19926482,0.01918888,0.06706744
42514014,0.1950692,0.018895233,0.06848134
42720974,0.21640669,0.019794282,0.06610205
42921129,0.20217426,0.01714638,0.06224316
43123431,0.20121641,0.015893409,0.06200106
43325046,0.19598198,0.01774779,0.06499552
43525101,0.19596097,0.016765911,0.064475484
43730082,0.1924548,0.016520768,0.068849385
43930472,0.1999644,0.020075321,0.067118205
44132310,0.1999062,0.018357968,0.06373244
44333244,0.19143513,0.017587379,0.058478247
44538050,0.1923718,0.018977487,0.060574077
44738618,0.19345391,0.021174159,0.06561907
44938924,0.19379117,0.018127147,0.06300862
45138802,0.19972578,0.020509502,0.07032929
45342879,0.18419908,0.019535767,0.06589067
45547661,0.18750203,0.017949944,0.06319917
45748055,0.19171622,0.021439953,0.06905977
45952286,0.23017974,0.0242502,0.06745543
46156392,0.23078723,0.021364566,0.06628987
46357032,0.17792849,0.02243206,0.064999856
46558219,0.18468261,0.021452144,0.06916347
46760383,0.2466156,0.01988768,0.070590876
46965792,0.19505587,0.022547029,0.06675284
47167560,0.19200796,0.019884398,0.06879969
47369209,0.20427303,0.021524087,0.06502639
47574657,0.21122693,0.021049423,0.067310624
47775644,0.20013957,0.024344686,0.067488365
47978115,0.19408812,0.022798505,0.06502001
48178852,0.22470453,0.024516968,0.06601243
48378879,0.20183796,0.022091161,0.066054195
48583704,0.20170742,0.026480436,0.06614143
48784498,0.20167731,0.025201809,0.06860733
48986428,0.15731084,0.025766496,0.059172668
49186013,0.18632047,0.025441287,0.059786987
49388502,0.21572335,0.023875622,0.06571914
49593780,0.2358505,0.025875583,0.060824297
49794599,0.2366534,0.025951916,0.059844315
49997318,0.26815608,0.027853211,0.058663912
50203366,0.14515436,0.028305836,0.05803723
50402866,0.19752839,0.02182071,0.054508414
50606066,0.24035285,0.025189104,0.058430966
50811690,0.18727344,0.024218233,0.05906579
51012472,0.2615187,0.025444489,0.053084746
51214886,0.20881167,0.03194636,0.056583453
51420938,0.2615294,0.02964379,0.052057043
51620439,0.21704778,0.026366206,0.05834479
51824203,0.20191152,0.021332836,0.05413596
52029106,0.26757407,0.026874272,0.051146615
52229323,0.25918314,0.029646173,0.05064649
52429992,0.25631967,0.027834104,0.05262327
52633735,0.25799397,0.025372988,0.047694676
52838440,0.1969871,0.021243613,0.049983718
53040108,0.18498316,0.027036479,0.0543294
53240293,0.20181873,0.022765055,0.064023875
53442044,0.21763505,0.025444854,0.05343253
53647571,0.14224714,0.025009727,0.052638937
53847697,0.2239951,0.017930701,0.054083932
54051369,0.20449059,0.020651104,0.0557572
54251710,0.20297655,0.020643525,0.06180632
54451659,0.22035743,0.02137002,0.05999175
54656465,0.19273326,0.026160685,0.04798794
54858808,0.21437757,0.025873639,0.057432488
55058638,0.20335236,0.03528397,0.054176945
55260517,0.11102203,0.02187572,0.059137948
55466607,0.20570654,0.020297354,0.058642734
55669300,0.21778113,0.027274596,0.06356774
55870116,0.19649881,0.017920455,0.05691786
56076369,0.17354089,0.025618613,0.05328029
56278070,0.16973299,0.027430296,0.05602171
56479285,0.25179267,0.020248627,0.05180099
56684340,0.21868402,0.024883578,0.055281702
56884899,0.18813549,0.024790203,0.06441597
57084909,0.24626458,0.020993123,0.056328654
57286213,0.19516502,0.02280631,0.04854258
57486794,0.20226717,0.014833875,0.048202842
57687034,0.18732135,0.016563198,0.05905254
57885261,0.21848974,0.016470507,0.058878236
58089742,0.23254007,0.024551155,0.059930686
58294724,0.19225551,0.015974121,0.060857277
58495409,0.23247895,0.020952173,0.062171876
58696807,0.1732675,0.017900862,0.069558606
58898610,0.1944081,0.027975304,0.06489923
59104614,0.2203997,0.01986058,0.06714913
59305226,0.17241056,0.025238244,0.06412972
59506846,0.28758106,0.02610416,0.06669411
59707716,0.21970646,0.024409626,0.062029425
59908188,0.2465026,0.029219449,0.05653081
60108086,0.19055481,0.023653327,0.061757904
60314121,0.21996257,0.025403386,0.06308727
60516480,0.21193676,0.018876767,0.06441161
60716476,0.23152108,0.027102089,0.056542825
60922083,0.20578703,0.023099035,0.054265607
61122631,0.16285011,0.020178158,0.057272263
61323511,0.19566971,0.026230656,0.060098246
61526090,0.22352365,0.022780092,0.057320677
61732323,0.17941146,0.011189319,0.062736884
61932625,0.18659423,0.023909392,0.061542854
62134894,0.24096972,0.022378849,0.061166048
62341030,0.18346222,0.026129644,0.07190025
62540445,0.34499633,0.02557293,0.06805539
62744340,0.27098915,0.019283798,0.066393405
62949966,0.25069788,0.023990033,0.065235354
63149673,0.18925561,0.025773779,0.07440312
63352341,0.19775091,0.025885545,0.06835747
63558017,0.23836668,0.024744004,0.05852034
63758893,0.2023198,0.023426836,0.06628256
63957974,0.22651696,0.02261255,0.059141964
64162026,0.21501353,0.027248438,0.06500106
64366896,0.22021176,0.01919146,0.059048664
64568162,0.23880836,0.01684834,0.059387848
64768373,0.22266196,0.013917253,0.069271706
64971387,0.28368896,0.024745792,0.06340672
65172094,0.20125262,0.021611497,0.057677157
65371563,0.19768164,0.011004417,0.061841346
65576421,0.19231278,0.022043087,0.059571035
65778123,0.21385977,0.019646674,0.05146885
65977988,0.22016174,0.026115159,0.059971187
66180443,0.21675043,0.024576725,0.055567242
66386472,0.2582741,0.02122515,0.058848828
66586573,0.18526454,0.019508155,0.059917517
66786832,0.19530131,0.018211821,0.05527265
66990010,0.24311563,0.023135453,0.069387026
67196496,0.22539757,0.02396936,0.060850568
67396861,0.24757686,0.023393955,0.06400885
67598919,0.22598366,0.010554167,0.06475695
67804447,0.19935423,0.021033585,0.065950476
68004907,0.13296434,0.01917491,0.072119646
68207689,0.21846145,0.032363616,0.073807485
68412502,0.2238266,0.02219626,0.0668897
68613310,0.18158688,0.019485082,0.074275985
68816516,0.24498552,0.025710737,0.07193572
69022016,0.31205502,0.019595623,0.068450175
69222067,0.19679993,0.021572374,0.0741235
69423578,0.31987613,0.018174844,0.06840561
69624503,0.1934439,0.020393526,0.06353928
69826557,0.29547715,0.022305116,0.06559946
70026582,0.24369052,0.017850695,0.06936266
70233041,0.21732457,0.017855328,0.07289368
70435398,0.18029566,0.012930743,0.073100604
70635660,0.21689406,0.018780595,0.068623066
70840882,0.19192834,0.018525615,0.06771481
71041218,0.19039798,0.018565288,0.07212734
71242089,0.2139415,0.021278558,0.07071411
71442663,0.1943483,0.024869885,0.06840333
71645005,0.19880828,0.021917852,0.07229485
71850021,0.16688111,0.023408636,0.06676823
72050575,0.183886,0.026064567,0.07248497
72251991,0.18870676,0.02205178,0.077467814
72454759,0.20673195,0.01675673,0.07141935
72654849,0.20234971,0.01842991,0.06901648
72855357,0.20223595,0.020464923,0.072033934
73059650,0.25487864,0.02023787,0.07219557
73260346,0.22073987,0.017858727,0.076838635
73461818,0.1831816,0.019506894,0.06746232
73660446,0.14996603,0.01755706,0.06793396
73864391,0.23081546,0.025215866,0.06423249
74065090,0.18803728,0.021777282,0.061429996
74265119,0.19799906,0.025302455,0.06820396
74469998,0.2019363,0.013071723,0.06353688
74670721,0.25244945,0.023439283,0.06998494
74870826,0.21410051,0.02403908,0.07218743
75070822,0.24580655,0.024482433,0.067987405
75274653,0.20396176,0.016792921,0.071015835
75478850,0.25095606,0.023468228,0.072942086
75680453,0.19994679,0.026314683,0.07578322
75883422,0.2598009,0.021059165,0.0801445
76089003,0.2554737,0.022049475,0.08177063
76288513,0.24977677,0.02299442,0.076738596
76492160,0.1587193,0.020698145,0.08233993
76697614,0.1965122,0.022068445,0.08577199
76898084,0.19757451,0.013651675,0.07589055
77097944,0.19057709,0.017431004,0.08117191
77299607,0.24519469,0.019016754,0.07574385
77501230,0.22778766,0.015850917,0.0746605
77702506,0.24681422,0.02320903,0.08365315
77907228,0.3587169,0.025477353,0.078137204
78109987,0.28389263,0.017819488,0.078653954
78310878,0.16059536,0.026582442,0.081267856
78516121,0.20200682,0.022256006,0.0789598
78717069,0.20577301,0.018091267,0.078105934
78920216,0.27616027,0.021406487,0.07245175
79119717,0.27218056,0.018549552,0.08215938
79325070,0.1919031,0.01854937,0.0742577
